1) ROI Name,2) Length,3) X Coord (ML),4) Y Coord (AP)
L-A,1,-2293.2,-2496.2
L-AC,1,-260,270
L-AL,1,-3827.1,-3339.3
L-AM,1,-1647.9,-2696
L-AU,1,-4530.4,-2901
L-BC,1,-3456.9,-1727
L-FL,1,-2452.6,-566.8
L-HL,1,-1694.2,-1145.7
L-L,1,-3712.6,-4261.5
L-LI,1,-4058.6,-4229.3
L-M1,1,-1860.3,641.81
L-M2,1,-870.02,1420.5
L-MO,1,-3491.7,587.12
L-NO,1,-3800.1,-477.33
L-PL,1,-3516.1,-5214.6
L-PM,1,-1621.7,-3624.7
L-POR,1,-4223.1,-4755
L-RL,1,-3171.2,-2849
L-RS,1,-620.43,-2885.8
L-S2,1,-4397.7,-1202.7
L-TEA,1,-4565.7,-4162.2
L-TR,1,-1864.4,-2020.4
L-UN,1,-2797.9,-971.12
L-V1,1,-2516.8,-4267.8
R-A,1,2293.2,-2496.2
R-AC,1,260,270
R-AL,1,3827.1,-3339.3
R-AM,1,1647.9,-2696
R-AU,1,4530.4,-2901
R-BC,1,3456.9,-1727
R-FL,1,2452.6,-566.8
R-HL,1,1694.2,-1145.7
R-L,1,3712.6,-4261.5
R-LI,1,4058.6,-4229.3
R-M1,1,1860.3,641.81
R-M2,1,870.02,1420.5
R-MO,1,3491.7,587.12
R-NO,1,3800.1,-477.33
R-PL,1,3516.1,-5214.6
R-PM,1,1621.7,-3624.7
R-POR,1,4223.1,-4755
R-RL,1,3171.2,-2849
R-RS,1,620.43,-2885.8
R-S2,1,4397.7,-1202.7
R-TEA,1,4565.7,-4162.2
R-TR,1,1864.4,-2020.4
R-UN,1,2797.9,-971.12
R-V1,1,2516.8,-4267.8
